name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
TotalAssets,"65,728,000,000","41,182,000,000","44,187,000,000","28,791,000,000","17,315,000,000","13,292,000,000","11,241,000,000","9,841,000,000","7,370,000,000","7,201,000,000","7,250,894,000","6,412,245,000","5,552,928,000","4,495,246,000","3,585,918,000","3,350,727,000","3,747,671,000","2,675,263,000","1,954,687,000","1,628,536,000","1,399,344,000","1,617,015,000","1,503,174,000","1,016,902,000","202,250,000","113,300,000"
	CurrentAssets,"44,345,000,000","23,073,000,000","28,829,000,000","16,055,000,000","13,690,000,000","10,557,000,000","9,255,000,000","8,536,000,000","6,053,000,000","5,713,000,000","5,624,711,000","4,775,258,000","3,905,358,000","3,226,950,000","2,480,830,000","2,167,958,000","2,888,829,000","2,031,770,000","1,550,299,000","1,304,926,000","1,052,712,000","1,351,602,000","1,234,109,000","930,884,000","173,175,000","101,100,000"
		CashCashEquivalentsAndShortTermInvestments,"25,984,000,000","13,296,000,000","21,208,000,000","11,561,000,000","10,897,000,000","7,422,000,000","7,108,000,000","6,798,000,000","5,037,000,000","4,623,000,000","4,671,810,000","3,727,883,000","3,129,576,000","2,490,563,000","1,728,227,000","1,255,390,000","1,809,478,000","1,117,850,000","950,174,000","670,045,000","604,043,000","1,028,413,000","791,377,000","674,275,000","61,560,000","50,300,000"
			CashAndCashEquivalents,"7,280,000,000","3,389,000,000","1,990,000,000","847,000,000","10,896,000,000","782,000,000","4,002,000,000","1,766,000,000","596,000,000","497,000,000","1,151,587,000","732,786,000","667,876,000","665,361,000","447,221,000","417,688,000","726,969,000","544,414,000","551,756,000","208,512,000","214,422,000","346,994,000","333,000,000","674,275,000","61,560,000","50,300,000"
			OtherShortTermInvestments,"18,704,000,000","9,907,000,000","19,218,000,000","10,714,000,000","1,000,000","6,640,000,000","3,106,000,000","5,032,000,000","4,441,000,000","4,126,000,000","3,520,223,000","2,995,097,000","2,461,700,000","1,825,202,000","1,281,006,000","837,702,000","1,082,509,000","573,436,000","398,418,000","461,533,000","389,621,000","681,419,000","458,377,000",,,
		Receivables,"9,999,000,000","3,827,000,000","4,650,000,000","2,429,000,000","1,657,000,000","1,424,000,000","1,265,000,000","826,000,000","505,000,000","474,000,000","426,357,000","454,252,000","336,143,000","348,770,000","374,963,000","318,435,000","666,494,000","518,680,000","318,186,000","296,279,000","196,631,000","154,501,000","147,348,000","104,988,000","67,224,000","20,600,000"
			AccountsReceivable,"9,999,000,000","3,827,000,000","4,650,000,000","2,429,000,000","1,657,000,000","1,424,000,000","1,265,000,000","826,000,000","505,000,000","474,000,000","426,357,000","454,252,000","336,143,000","348,770,000","374,963,000","318,435,000","666,494,000","518,680,000","318,186,000","296,279,000","196,631,000","154,501,000","147,348,000","104,988,000",,
				GrossAccountsReceivable,,,,"2,450,000,000","1,668,000,000",,"1,278,000,000","839,000,000","516,000,000","491,000,000","441,316,000","470,847,000","350,997,000","364,609,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,"-21,000,000","-11,000,000",,"-13,000,000","-13,000,000","-11,000,000","-17,000,000","-14,959,000","-16,595,000","-14,854,000","-15,839,000",,,,,,,,,,,,
		Inventory,"5,282,000,000","5,159,000,000","2,605,000,000","1,826,000,000","979,000,000","1,575,000,000","796,000,000","794,000,000","418,000,000","483,000,000","387,765,000","412,467,000","340,297,000","345,525,000","330,674,000","537,834,000","358,521,000","354,680,000","254,870,000","315,518,000","234,238,000","145,046,000","213,877,000","90,380,000","37,631,000","28,600,000"
			RawMaterials,"1,719,000,000","2,430,000,000","791,000,000","632,000,000","249,000,000","613,000,000","227,000,000","252,000,000","105,000,000","157,000,000","126,896,000","157,989,000","84,927,000","67,880,000","76,935,000","122,024,000","31,299,000","56,261,000","25,743,000","23,225,000","22,131,000","17,510,000","13,367,000",,,
			WorkInProcess,"1,505,000,000","466,000,000","692,000,000","457,000,000","265,000,000","238,000,000","192,000,000","176,000,000","103,000,000","92,000,000","94,844,000","67,352,000","62,934,000","72,698,000","67,502,000","38,747,000","107,835,000","111,058,000","107,847,000","130,211,000","44,523,000","13,179,000","77,130,000",,,
			FinishedGoods,"2,058,000,000","2,263,000,000","1,122,000,000","737,000,000","465,000,000","724,000,000","377,000,000","366,000,000","210,000,000","234,000,000","166,025,000","187,126,000","192,436,000","204,947,000","186,237,000","377,063,000","219,387,000","187,361,000","121,280,000","162,082,000","167,584,000","114,357,000","123,380,000",,,
		PrepaidAssets,,,"366,000,000","239,000,000","157,000,000","136,000,000","86,000,000","118,000,000","93,000,000","70,000,000","70,285,000","76,920,000","29,946,000","20,640,000","38,214,000","39,794,000","43,068,000","31,141,000","24,387,000","19,819,000","14,539,000","23,642,000","74,507,000","8,355,000",,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,"7,000,000","24,500,000",,
		CurrentDeferredAssets,,,,,,,,,"0","63,000,000","68,494,000","103,736,000","49,931,000","9,456,000","8,752,000","16,505,000","11,268,000","9,419,000","2,682,000","3,265,000","3,261,000",,"66,429,000","28,386,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,"0","63,000,000","68,494,000","103,736,000","49,931,000","9,456,000","8,752,000","16,505,000","11,268,000","9,419,000","2,682,000","3,265,000","3,261,000",,"66,429,000","28,386,000",,
		OtherCurrentAssets,"3,080,000,000","791,000,000","366,000,000","239,000,000","157,000,000","136,000,000","86,000,000","118,000,000","93,000,000","70,000,000","70,285,000","76,920,000","19,465,000","11,996,000",,,,,,,,,,"61,241,000","6,760,000","1,600,000"
	TotalNonCurrentAssets,"21,383,000,000","18,109,000,000","15,358,000,000","12,736,000,000","3,625,000,000","2,735,000,000","1,986,000,000","1,305,000,000","1,317,000,000","1,488,000,000","1,626,183,000","1,636,987,000","1,647,570,000","1,268,296,000","1,105,088,000","1,182,769,000","858,842,000","643,493,000","404,388,000","323,610,000","346,632,000","265,413,000","269,065,000","86,018,000","29,075,000","12,200,000"
		NetPPE,"5,260,000,000","4,845,000,000","3,607,000,000","2,856,000,000","2,292,000,000","1,404,000,000","997,000,000","521,000,000","466,000,000","557,000,000","582,740,000","576,144,000","560,072,000","568,857,000","571,858,000","625,798,000","359,808,000","260,828,000","178,152,000","178,955,000","190,029,000","135,152,000","120,128,000","47,280,000","25,886,000","11,700,000"
			GrossPPE,"8,769,000,000","7,539,000,000","5,510,000,000","4,264,000,000","3,303,000,000","2,171,000,000","1,737,000,000","1,191,000,000","1,100,000,000","1,179,000,000","1,282,820,000","1,288,782,000","1,156,528,000","1,193,939,000","1,088,483,000","1,008,753,000","753,518,000","569,498,000","460,401,000","395,822,000","337,875,000","229,083,000","170,569,000","76,245,000","41,286,000","18,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
				LandAndImprovements,"218,000,000","218,000,000","218,000,000","218,000,000","218,000,000","218,000,000","218,000,000","218,000,000","218,000,000","218,000,000","218,496,000","218,496,000","218,496,000","217,372,000","217,372,000","217,866,000","38,442,000","1,230,000",,,,,,,,
				BuildingsAndImprovements,"1,816,000,000","1,598,000,000","874,000,000","796,000,000","340,000,000","339,000,000","348,000,000","13,000,000","13,000,000","19,000,000","19,268,000","30,869,000","30,869,000","29,326,000","29,223,000","29,216,000","107,457,000","92,784,000","88,376,000","79,160,000","58,649,000","54,416,000","36,728,000","2,110,000",,
				MachineryFurnitureEquipment,"5,200,000,000","4,303,000,000","2,852,000,000","1,985,000,000","982,000,000","700,000,000","452,000,000","300,000,000","301,000,000","315,000,000","383,653,000","479,158,000","425,315,000","475,834,000","667,530,000","593,685,000","352,636,000","273,348,000","216,147,000","188,088,000","161,456,000","121,799,000","45,210,000","15,216,000",,
				OtherProperties,"1,346,000,000","1,038,000,000","829,000,000","707,000,000","1,150,000,000","516,000,000","490,000,000","455,000,000","382,000,000","425,000,000","441,343,000","376,761,000","326,770,000","320,425,000",,"228,178,000","246,725,000","195,556,000","153,618,000","125,310,000","116,150,000","48,006,000","73,886,000","50,341,000",,
				ConstructionInProgress,"189,000,000","382,000,000","737,000,000","558,000,000","320,000,000","107,000,000","31,000,000","29,000,000","12,000,000","28,000,000","41,176,000","24,085,000","11,092,000","4,474,000","4,091,000","5,360,000","8,258,000","6,580,000","2,260,000","3,264,000","1,620,000","4,862,000","14,745,000","8,578,000",,
				Leases,,,,"385,000,000","293,000,000","291,000,000","198,000,000","176,000,000","174,000,000","174,000,000","178,884,000","159,413,000","143,986,000","146,508,000","170,267,000","162,626,000",,,,,,,,,,
			AccumulatedDepreciation,"-3,509,000,000","-2,694,000,000","-1,903,000,000","-1,408,000,000","-1,011,000,000","-767,000,000","-740,000,000","-670,000,000","-634,000,000","-622,000,000","-700,080,000","-712,638,000","-596,456,000","-625,082,000","-516,625,000","-382,955,000","-393,710,000","-308,670,000","-282,249,000","-216,867,000","-147,846,000","-93,931,000","-50,441,000","-28,965,000","-15,400,000","-6,900,000"
		GoodwillAndOtherIntangibleAssets,"5,542,000,000","6,048,000,000","6,688,000,000","6,930,000,000","667,000,000","663,000,000","670,000,000","722,000,000","784,000,000","840,000,000","939,191,000","953,362,000","967,166,000","658,589,000","490,302,000","516,945,000","460,983,000","346,936,000","160,738,000","135,621,000","148,872,000","76,471,000","81,119,000","23,795,000",,
			Goodwill,"4,430,000,000","4,372,000,000","4,349,000,000","4,193,000,000","618,000,000","618,000,000","618,000,000","618,000,000","618,000,000","618,000,000","643,179,000","641,030,000","641,030,000","369,844,000","369,844,000","369,844,000","354,057,000","301,425,000","145,317,000",,,,"81,119,000","23,795,000",,
			OtherIntangibleAssets,"1,112,000,000","1,676,000,000","2,339,000,000","2,737,000,000","49,000,000","45,000,000","52,000,000","104,000,000","166,000,000","222,000,000","296,012,000","312,332,000","326,136,000","288,745,000","120,458,000","147,101,000","106,926,000","45,511,000","15,421,000","135,621,000","148,872,000","76,471,000",,,,
		InvestmentsAndAdvances,"1,546,000,000","299,000,000","266,000,000","144,000,000","77,000,000",,,,,,,"10,030,000","10,382,000","8,792,000","6,630,000","6,412,000",,,,,,,,,,
			OtherInvestments,"1,546,000,000","299,000,000","266,000,000","144,000,000","77,000,000",,,,,,,"10,030,000","10,382,000","8,792,000",,,,,,,,,,,,
		NonCurrentDeferredAssets,"6,081,000,000","3,396,000,000","1,222,000,000","806,000,000","548,000,000","560,000,000","245,000,000",,,,,"3,527,000","7,459,000","851,000",,,,"7,380,000","38,021,000",,,"43,317,000","55,921,000","4,034,000",,
			NonCurrentDeferredTaxesAssets,"6,081,000,000","3,396,000,000","1,222,000,000","806,000,000","548,000,000","560,000,000","245,000,000",,,,,"3,527,000","7,459,000","851,000",,,,"7,380,000","38,021,000",,,"43,317,000","55,921,000","4,034,000",,
		NonCurrentPrepaidAssets,"2,822,000,000","3,376,000,000","3,509,000,000","1,797,000,000","9,000,000",,,,,,,"85,881,000","92,007,000","28,242,000","15,432,000","20,005,000",,,,,,,,,,
		OtherNonCurrentAssets,"132,000,000","145,000,000","66,000,000","203,000,000","32,000,000","108,000,000","74,000,000","62,000,000","67,000,000","91,000,000","104,252,000","107,481,000","10,484,000","2,965,000","20,866,000","13,609,000","38,051,000","28,349,000","27,477,000","9,034,000","7,731,000","10,473,000","11,897,000","10,909,000","3,189,000","500,000"
TotalLiabilitiesNetMinorityInterest,"22,750,000,000","19,081,000,000","17,575,000,000","11,898,000,000","5,111,000,000","3,950,000,000","3,770,000,000","4,079,000,000","2,901,000,000","2,783,000,000","2,794,496,000","1,584,542,000","1,407,204,000","1,313,784,000","920,778,000","956,075,000","1,129,759,000","668,344,000","458,695,000","450,268,000","348,159,000","684,328,000","739,355,000","609,795,000","77,687,000","49,100,000"
	CurrentLiabilities,"10,631,000,000","6,563,000,000","4,335,000,000","3,925,000,000","1,784,000,000","1,329,000,000","1,153,000,000","1,819,000,000","2,438,000,000","896,000,000","945,496,000","976,223,000","929,958,000","942,682,000","784,378,000","778,591,000","967,161,000","638,807,000","438,659,000","421,156,000","334,112,000","379,448,000","433,494,000","309,417,000","76,225,000","47,100,000"
		PayablesAndAccruedExpenses,"7,775,000,000","4,606,000,000","3,520,000,000","2,128,000,000","1,523,000,000","1,176,000,000","1,049,000,000","696,000,000","445,000,000","436,000,000","490,733,000","667,458,000","623,870,000","672,288,000","734,578,000","722,341,000","961,305,000","637,627,000","438,442,000","408,800,000","330,097,000","369,596,000","355,229,000","104,534,000","64,910,000","35,700,000"
			Payables,"2,995,000,000","1,660,000,000","1,915,000,000","1,149,000,000","748,000,000","602,000,000","629,000,000","497,000,000","305,000,000","296,000,000","326,769,000","359,601,000","342,013,000","290,714,000","346,311,000","218,864,000","492,099,000","272,075,000","179,395,000","238,223,000","185,342,000","141,129,000","214,019,000","72,301,000","64,910,000","35,700,000"
				AccountsPayable,"2,699,000,000","1,193,000,000","1,783,000,000","1,149,000,000","687,000,000","511,000,000","596,000,000","485,000,000","296,000,000","293,000,000","324,391,000","356,428,000","335,072,000","286,138,000","344,527,000","218,864,000","492,099,000","272,075,000","179,395,000","238,223,000","185,342,000","141,129,000","214,019,000","72,301,000","64,910,000","35,700,000"
				TotalTaxPayable,"296,000,000","467,000,000","132,000,000","61,000,000","61,000,000","91,000,000","33,000,000","4,000,000","2,000,000","3,000,000","2,378,000","3,173,000","6,941,000","4,576,000","1,784,000",,,,,,,,,,,
				OtherPayable,,,,,"54,000,000",,"9,000,000","8,000,000","7,000,000",,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"4,780,000,000","2,946,000,000","1,605,000,000","979,000,000","775,000,000","574,000,000","420,000,000","199,000,000","140,000,000","140,000,000","163,964,000","307,857,000","281,857,000","381,574,000","388,267,000","503,477,000","469,206,000","365,552,000","259,047,000","170,577,000","144,755,000","228,467,000","141,210,000","32,233,000",,
				InterestPayable,,,,"74,000,000","20,000,000","20,000,000","20,000,000","21,000,000","3,000,000","3,000,000","2,500,000",,,,,,,,,,,,,,,
		CurrentProvisions,"415,000,000","108,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"1,478,000,000","1,426,000,000","144,000,000","999,000,000","91,000,000",,"15,000,000","827,000,000","1,500,000,000",,,,,,,,,,,"856,000","4,015,000","5,676,000","3,896,000","588,000","1,786,000","6,400,000"
			CurrentDebt,"1,250,000,000","1,250,000,000",,"999,000,000",,,"15,000,000","827,000,000","1,500,000,000",,,,,,,,,,,"856,000","4,015,000","5,676,000","3,896,000","588,000","1,786,000","6,400,000"
				OtherCurrentBorrowings,"1,250,000,000","1,250,000,000",,"999,000,000",,,"15,000,000","827,000,000","1,500,000,000",,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"228,000,000","176,000,000","144,000,000","121,000,000","91,000,000",,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"764,000,000","354,000,000","300,000,000","288,000,000","141,000,000","92,000,000","53,000,000","85,000,000","322,000,000","296,000,000","268,808,000","282,695,000","270,649,000","245,596,000","19,624,000","15,417,000","5,856,000","1,180,000","217,000","11,500,000",,,"70,193,000","200,000,000",,
			CurrentDeferredRevenue,"764,000,000","354,000,000","300,000,000","288,000,000","141,000,000","92,000,000","53,000,000","85,000,000","322,000,000","296,000,000","268,808,000","282,695,000","270,649,000","245,596,000","19,624,000","15,417,000","5,856,000","1,180,000","217,000","11,500,000",,,"70,193,000","200,000,000",,
		OtherCurrentLiabilities,"199,000,000","69,000,000","371,000,000","510,000,000","29,000,000","61,000,000","36,000,000","211,000,000","171,000,000","164,000,000","185,955,000","26,070,000","35,439,000","24,798,000","30,176,000","40,833,000",,,,,,"4,176,000","4,176,000","4,295,000","9,529,000","5,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"12,119,000,000","12,518,000,000","13,240,000,000","7,973,000,000","3,327,000,000","2,621,000,000","2,617,000,000","2,260,000,000","463,000,000","1,887,000,000","1,849,000,000","608,319,000","477,246,000","371,102,000","136,400,000","177,484,000","162,598,000","29,537,000","20,036,000","29,112,000","14,047,000","304,880,000","305,861,000","300,378,000","1,462,000","2,000,000"
		LongTermProvisions,,,,,,,,,"1,000,000","7,000,000","11,056,000","10,165,000","10,199,000","9,694,000",,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"9,578,000,000","10,605,000,000","11,687,000,000","6,598,000,000","2,552,000,000","1,988,000,000","1,985,000,000","1,983,000,000","10,000,000","1,398,000,000","1,373,875,000","18,998,000","21,439,000","23,389,000","24,450,000","25,634,000",,,,,"856,000","304,880,000","305,861,000","300,378,000","1,462,000","2,000,000"
			LongTermDebt,"8,459,000,000","9,703,000,000","10,946,000,000","5,964,000,000","1,991,000,000","1,988,000,000","1,985,000,000","1,983,000,000",,"1,384,000,000","1,356,375,000",,,,,,,,,,,"300,000,000","300,000,000","300,000,000","1,462,000","2,000,000"
			LongTermCapitalLeaseObligation,"1,119,000,000","902,000,000","741,000,000","634,000,000","561,000,000","0",,"6,000,000","10,000,000","14,000,000","17,500,000","18,998,000","21,439,000","23,389,000","24,450,000","25,634,000",,,,,"856,000","4,880,000","5,861,000","378,000",,
		NonCurrentDeferredLiabilities,"1,035,000,000","465,000,000","447,000,000","404,000,000","89,000,000","86,000,000","42,000,000","151,000,000","345,000,000","340,000,000","330,152,000","429,102,000","333,658,000","209,129,000","17,739,000","75,252,000","86,900,000",,"8,260,000","20,754,000","8,609,000",,,,,
			NonCurrentDeferredTaxesLiabilities,"462,000,000","247,000,000","245,000,000","241,000,000","29,000,000","19,000,000","18,000,000","141,000,000","301,000,000","232,000,000","157,953,000","192,950,000","133,288,000","46,129,000","17,739,000","75,252,000","86,900,000",,"8,260,000","20,754,000","8,609,000",,,,,
			NonCurrentDeferredRevenue,"573,000,000","218,000,000","202,000,000","163,000,000","60,000,000","46,000,000","15,000,000","4,000,000","44,000,000","108,000,000","172,199,000","236,152,000","200,370,000","163,000,000","0",,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"1,441,000,000","1,385,000,000","1,057,000,000","836,000,000","638,000,000","514,000,000","559,000,000","106,000,000","91,000,000","121,000,000","119,977,000","115,267,000","63,007,000","57,590,000",,,,,,,,,,,,
		EmployeeBenefits,,,,"33,000,000","22,000,000","20,000,000","12,000,000","10,000,000",,,,,,,,,,,,,,,,,,
		DerivativeProductLiabilities,,,,,,,,,"7,000,000","0",,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"65,000,000","63,000,000","49,000,000","135,000,000","26,000,000","13,000,000","19,000,000","10,000,000","17,000,000","21,000,000","13,940,000","34,787,000","48,943,000","71,300,000","94,211,000","76,598,000","75,698,000",,"10,624,000","8,358,000","4,582,000",,,"200,000,000",,
TotalEquityGrossMinorityInterest,"42,978,000,000","22,101,000,000","26,612,000,000","16,893,000,000","12,204,000,000","9,342,000,000","7,471,000,000","5,762,000,000","4,469,000,000","4,418,000,000","4,456,398,000","4,827,703,000","4,145,724,000","3,181,462,000","2,665,140,000","2,394,652,000","2,617,912,000","2,006,919,000","1,495,992,000","1,178,268,000","1,051,185,000","932,687,000","763,819,000","407,107,000","124,563,000","64,200,000"
	StockholdersEquity,"42,978,000,000","22,101,000,000","26,612,000,000","16,893,000,000","12,204,000,000","9,342,000,000","7,471,000,000","5,762,000,000","4,469,000,000","4,418,000,000","4,456,398,000","4,827,703,000","4,145,724,000","3,181,462,000","2,665,140,000","2,394,652,000","2,617,912,000","2,006,919,000","1,495,992,000","1,178,268,000","1,051,185,000","932,687,000","763,819,000","407,107,000","124,563,000","64,200,000"
		CapitalStock,"2,000,000","2,000,000","3,000,000","3,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","732,000","720,000","700,000","677,000","653,000","629,000","619,000","388,000","360,000","169,000","164,000","158,000","150,000","137,000","62,000",
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,
			CommonStock,"2,000,000","2,000,000","3,000,000","3,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","732,000","720,000","700,000","677,000","653,000","629,000","619,000","388,000","360,000","169,000","164,000","158,000","150,000","137,000","62,000",
		AdditionalPaidInCapital,"13,132,000,000","11,971,000,000","10,385,000,000","8,719,000,000","7,045,000,000","6,051,000,000","5,351,000,000","4,708,000,000","4,170,000,000","3,855,000,000","3,483,342,000","3,193,623,000","2,900,896,000","2,500,577,000","2,219,401,000","1,889,257,000","1,654,681,000","1,295,650,000","965,604,000","636,618,000","583,481,000","531,030,000","456,621,000","276,960,000","95,933,000",
		RetainedEarnings,"29,817,000,000","10,171,000,000","16,235,000,000","18,908,000,000","14,971,000,000","12,565,000,000","8,787,000,000","6,108,000,000","4,350,000,000","3,949,000,000","3,504,742,000","3,246,088,000","2,730,418,000","2,149,328,000","1,896,182,000","1,964,169,000","1,994,210,000","1,196,565,000","747,731,000","572,514,000","472,158,000","397,739,000","306,940,000","130,016,000","28,686,000","-9,400,000"
		TreasuryStock,,,"0","10,756,000,000","9,814,000,000","9,263,000,000","6,650,000,000","5,039,000,000","4,048,000,000","3,395,000,000","2,537,295,000","1,622,709,000","1,496,904,000","1,479,392,000","1,463,268,000","1,463,268,000","1,039,632,000","487,120,000","212,142,000","24,644,000",,,,,,
		GainsLossesNotAffectingRetainedEarnings,"27,000,000","-43,000,000","-11,000,000","19,000,000","1,000,000","-12,000,000","-18,000,000","-16,000,000","-4,000,000","8,000,000","4,877,000","9,981,000","10,614,000","10,272,000","12,172,000","3,865,000","8,034,000","1,436,000","-5,561,000","-6,389,000","-4,618,000","3,760,000","108,000","-6,000","-118,000",
			OtherEquityAdjustments,"27,000,000","-43,000,000","-11,000,000","19,000,000","1,000,000","-12,000,000","-18,000,000","-16,000,000","-4,000,000","8,000,000","4,877,000","9,981,000","10,614,000","10,272,000",,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,"73,600,000"
TotalCapitalization,"51,437,000,000","31,804,000,000","37,558,000,000","22,857,000,000","14,195,000,000","11,330,000,000","9,456,000,000","7,745,000,000","4,469,000,000","5,802,000,000","5,812,773,000","4,827,703,000","4,145,724,000","3,181,462,000","2,665,140,000","2,394,652,000","2,617,912,000","2,006,919,000","1,495,992,000","1,178,268,000","1,051,185,000","1,232,687,000","1,063,819,000","707,107,000","126,025,000","66,200,000"
CommonStockEquity,"42,978,000,000","22,101,000,000","26,612,000,000","16,893,000,000","12,204,000,000","9,342,000,000","7,471,000,000","5,762,000,000","4,469,000,000","4,418,000,000","4,456,398,000","4,827,703,000","4,145,724,000","3,181,462,000","2,665,140,000","2,394,652,000","2,617,912,000","2,006,919,000","1,495,992,000","1,178,268,000","1,051,185,000","932,687,000","763,819,000","407,107,000","124,563,000","64,200,000"
CapitalLeaseObligations,"1,347,000,000","1,078,000,000","885,000,000","634,000,000","652,000,000","0",,"6,000,000","10,000,000","14,000,000","17,500,000","18,998,000","21,439,000","23,389,000","24,450,000","25,634,000",,,,,"856,000","4,880,000","5,861,000","378,000",,
NetTangibleAssets,"37,436,000,000","16,053,000,000","19,924,000,000","9,963,000,000","11,537,000,000","8,679,000,000","6,801,000,000","5,040,000,000","3,685,000,000","3,578,000,000","3,517,207,000","3,874,341,000","3,178,558,000","2,522,873,000","2,174,838,000","1,877,707,000","2,156,929,000","1,659,983,000","1,335,254,000","1,042,647,000","902,313,000","856,216,000","682,700,000","383,312,000","124,563,000","64,200,000"
WorkingCapital,"33,714,000,000","16,510,000,000","24,494,000,000","12,130,000,000","11,906,000,000","9,228,000,000","8,102,000,000","6,717,000,000","3,615,000,000","4,817,000,000","4,679,215,000","3,799,035,000","2,975,400,000","2,284,268,000","1,696,452,000","1,389,367,000","1,921,668,000","1,392,963,000","1,111,640,000","883,770,000","718,600,000","972,154,000","800,615,000","621,467,000","96,950,000","54,000,000"
InvestedCapital,"52,687,000,000","33,054,000,000","37,558,000,000","23,856,000,000","14,195,000,000","11,330,000,000","9,471,000,000","8,572,000,000","5,969,000,000","5,802,000,000","5,812,773,000","4,827,703,000","4,145,724,000","3,181,462,000","2,665,140,000","2,394,652,000","2,617,912,000","2,006,919,000","1,495,992,000","1,179,124,000","1,055,200,000","1,238,363,000","1,067,715,000","707,695,000","127,811,000","72,600,000"
TangibleBookValue,"37,436,000,000","16,053,000,000","19,924,000,000","9,963,000,000","11,537,000,000","8,679,000,000","6,801,000,000","5,040,000,000","3,685,000,000","3,578,000,000","3,517,207,000","3,874,341,000","3,178,558,000","2,522,873,000","2,174,838,000","1,877,707,000","2,156,929,000","1,659,983,000","1,335,254,000","1,042,647,000","902,313,000","856,216,000","682,700,000","383,312,000","124,563,000","64,200,000"
TotalDebt,"11,056,000,000","12,031,000,000","11,831,000,000","7,597,000,000","2,643,000,000","1,988,000,000","2,000,000,000","2,810,000,000","1,510,000,000","1,398,000,000","1,373,875,000","18,998,000","21,439,000","23,389,000","24,450,000","25,634,000",,,,"856,000","4,871,000","310,556,000","309,757,000","300,966,000","3,248,000","8,400,000"
NetDebt,"2,429,000,000","7,564,000,000","8,956,000,000","6,116,000,000",,"1,206,000,000",,"1,044,000,000","904,000,000","887,000,000","204,788,000",,,,,,,,,,,,,,,
ShareIssued,"24,640,000,000","24,661,365,720","25,060,000,000","38,600,000,000","39,380,224,640","24,240,000,000","37,280,000,000","34,720,000,000","31,200,000,000","30,354,880,000","29,409,698,320","28,806,127,880","28,214,083,960","27,223,949,480","26,095,668,320","21,482,523,360","22,284,103,520","21,648,486,000","20,567,011,200","20,040,725,040","19,687,650,600","18,925,339,920","17,937,406,920","16,421,229,360","14,920,539,840","13,789,745,120"
OrdinarySharesNumber,"24,640,000,000","24,661,365,720","25,060,000,000","24,800,000,000","25,679,647,680","24,240,000,000","24,240,000,000","23,400,000,000","21,520,000,000","21,796,520,000","22,719,869,360","24,670,245,360","24,487,656,480","23,542,228,040","22,458,634,040","21,482,523,360","22,284,103,520","21,648,486,000","20,567,011,200","20,040,725,040","19,687,650,600","18,925,339,920","17,937,406,920","16,421,229,360","14,920,539,840","13,789,745,120"
TreasurySharesNumber,,,,"13,800,000,000","13,700,576,960",,"13,040,000,000","11,320,000,000","9,680,000,000","8,558,360,000","6,689,828,960","4,135,882,520","3,726,427,480","3,681,721,440","3,637,034,280",,,,,,,,,,,